patient_id,review,cleaned_review,tokens,tokens_no_stop,tokens_lemmatized,preprocessed_text,remove_reason,polarity_score,sentiment
PATIENT_0238,Poor communication from the medical team.,poor communication from the medical team,"['poor', 'communication', 'from', 'the', 'medical', 'team']","['poor', 'communication', 'medical', 'team']","['poor', 'communication', 'medical', 'team']",poor communication medical team,keep,-0.2,Negative
PATIENT_0239,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0240,Terrible experience. Long wait times and rude staff.,terrible experience long wait times and rude staff,"['terrible', 'experience', 'long', 'wait', 'times', 'and', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'times', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'time', 'rude', 'staff']",terrible experience long wait time rude staff,keep,-0.45,Negative
PATIENT_0241,Standard healthcare service. Met my basic needs.,standard healthcare service met my basic needs,"['standard', 'healthcare', 'service', 'met', 'my', 'basic', 'needs']","['standard', 'healthcare', 'service', 'met', 'basic', 'needs']","['standard', 'healthcare', 'service', 'met', 'basic', 'need']",standard healthcare service met basic need,keep,0.0,Neutral
PATIENT_0242,The experience was acceptable but unremarkable.,the experience was acceptable but unremarkable,"['the', 'experience', 'was', 'acceptable', 'but', 'unremarkable']","['experience', 'acceptable', 'unremarkable']","['experience', 'acceptable', 'unremarkable']",experience acceptable unremarkable,keep,0.0,Neutral
PATIENT_0243,The clinic is well-organized and the staff is friendly.,the clinic is wellorganized and the staff is friendly,"['the', 'clinic', 'is', 'wellorganized', 'and', 'the', 'staff', 'is', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']",clinic wellorganized staff friendly,keep,0.375,Positive
PATIENT_0244,Would give negative stars if possible. Terrible experience.,would give negative stars if possible terrible experience,"['would', 'give', 'negative', 'stars', 'if', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'stars', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'star', 'possible', 'terrible', 'experience']",would give negative star possible terrible experience,keep,-0.43333333333333335,Negative
PATIENT_0245,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0246,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0247,Felt rushed during my appointment. Not satisfied.,felt rushed during my appointment not satisfied,"['felt', 'rushed', 'during', 'my', 'appointment', 'not', 'satisfied']","['felt', 'rushed', 'appointment', 'satisfied']","['felt', 'rushed', 'appointment', 'satisfied']",felt rushed appointment satisfied,keep,0.5,Positive
PATIENT_0248,The clinic is well-organized and the staff is friendly.,the clinic is wellorganized and the staff is friendly,"['the', 'clinic', 'is', 'wellorganized', 'and', 'the', 'staff', 'is', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']",clinic wellorganized staff friendly,keep,0.375,Positive
PATIENT_0249,The experience was acceptable but unremarkable.,the experience was acceptable but unremarkable,"['the', 'experience', 'was', 'acceptable', 'but', 'unremarkable']","['experience', 'acceptable', 'unremarkable']","['experience', 'acceptable', 'unremarkable']",experience acceptable unremarkable,keep,0.0,Neutral
PATIENT_0250,Waste of time and money. Very unhelpful staff.,waste of time and money very unhelpful staff,"['waste', 'of', 'time', 'and', 'money', 'very', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']",waste time money unhelpful staff,keep,-0.2,Negative
PATIENT_0251,The clinic is well-organized and the staff is friendly.,the clinic is wellorganized and the staff is friendly,"['the', 'clinic', 'is', 'wellorganized', 'and', 'the', 'staff', 'is', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']",clinic wellorganized staff friendly,keep,0.375,Positive
PATIENT_0252,Standard healthcare service. Met my basic needs.,standard healthcare service met my basic needs,"['standard', 'healthcare', 'service', 'met', 'my', 'basic', 'needs']","['standard', 'healthcare', 'service', 'met', 'basic', 'needs']","['standard', 'healthcare', 'service', 'met', 'basic', 'need']",standard healthcare service met basic need,keep,0.0,Neutral
PATIENT_0253,The treatment was ineffective and expensive.,the treatment was ineffective and expensive,"['the', 'treatment', 'was', 'ineffective', 'and', 'expensive']","['treatment', 'ineffective', 'expensive']","['treatment', 'ineffective', 'expensive']",treatment ineffective expensive,keep,-0.5,Negative
PATIENT_0254,"It was fine, nothing to complain about.",it was fine nothing to complain about,"['it', 'was', 'fine', 'nothing', 'to', 'complain', 'about']","['fine', 'nothing', 'complain']","['fine', 'nothing', 'complain']",fine nothing complain,keep,0.4166666666666667,Positive
PATIENT_0255,Decent facilities but could be cleaner.,decent facilities but could be cleaner,"['decent', 'facilities', 'but', 'could', 'be', 'cleaner']","['decent', 'facilities', 'could', 'cleaner']","['decent', 'facility', 'could', 'cleaner']",decent facility could cleaner,keep,0.16666666666666666,Positive
PATIENT_0256,Very disappointed with the service. Would not return.,very disappointed with the service would not return,"['very', 'disappointed', 'with', 'the', 'service', 'would', 'not', 'return']","['disappointed', 'service', 'would', 'return']","['disappointed', 'service', 'would', 'return']",disappointed service would return,keep,-0.75,Negative
PATIENT_0257,The treatment was ineffective and expensive.,the treatment was ineffective and expensive,"['the', 'treatment', 'was', 'ineffective', 'and', 'expensive']","['treatment', 'ineffective', 'expensive']","['treatment', 'ineffective', 'expensive']",treatment ineffective expensive,keep,-0.5,Negative
PATIENT_0258,It was just a regular doctor's visit.,it was just a regular doctors visit,"['it', 'was', 'just', 'a', 'regular', 'doctors', 'visit']","['regular', 'doctors', 'visit']","['regular', 'doctor', 'visit']",regular doctor visit,keep,0.0,Neutral
PATIENT_0259,Best healthcare experience I've had. Very impressed!,best healthcare experience i have had very impressed,"['best', 'healthcare', 'experience', 'i', 'have', 'had', 'very', 'impressed']","['best', 'healthcare', 'experience', 'impressed']","['best', 'healthcare', 'experience', 'impressed']",best healthcare experience impressed,keep,1.0,Positive
PATIENT_0260,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0261,Neutral experience. Staff was neither helpful nor rude.,neutral experience staff was neither helpful nor rude,"['neutral', 'experience', 'staff', 'was', 'neither', 'helpful', 'nor', 'rude']","['neutral', 'experience', 'staff', 'neither', 'helpful', 'rude']","['neutral', 'experience', 'staff', 'neither', 'helpful', 'rude']",neutral experience staff neither helpful rude,keep,-0.3,Negative
PATIENT_0262,The treatment was ineffective and expensive.,the treatment was ineffective and expensive,"['the', 'treatment', 'was', 'ineffective', 'and', 'expensive']","['treatment', 'ineffective', 'expensive']","['treatment', 'ineffective', 'expensive']",treatment ineffective expensive,keep,-0.5,Negative
PATIENT_0263,Best healthcare experience I've had. Very impressed!,best healthcare experience i have had very impressed,"['best', 'healthcare', 'experience', 'i', 'have', 'had', 'very', 'impressed']","['best', 'healthcare', 'experience', 'impressed']","['best', 'healthcare', 'experience', 'impressed']",best healthcare experience impressed,keep,1.0,Positive
PATIENT_0264,The experience was acceptable but unremarkable.,the experience was acceptable but unremarkable,"['the', 'experience', 'was', 'acceptable', 'but', 'unremarkable']","['experience', 'acceptable', 'unremarkable']","['experience', 'acceptable', 'unremarkable']",experience acceptable unremarkable,keep,0.0,Neutral
PATIENT_0265,The medical staff treated me with great respect and compassion.,the medical staff treated me with great respect and compassion,"['the', 'medical', 'staff', 'treated', 'me', 'with', 'great', 'respect', 'and', 'compassion']","['medical', 'staff', 'treated', 'great', 'respect', 'compassion']","['medical', 'staff', 'treated', 'great', 'respect', 'compassion']",medical staff treated great respect compassion,keep,0.4,Positive
PATIENT_0266,Standard healthcare service. Met my basic needs.,standard healthcare service met my basic needs,"['standard', 'healthcare', 'service', 'met', 'my', 'basic', 'needs']","['standard', 'healthcare', 'service', 'met', 'basic', 'needs']","['standard', 'healthcare', 'service', 'met', 'basic', 'need']",standard healthcare service met basic need,keep,0.0,Neutral
PATIENT_0267,Standard healthcare service. Met my basic needs.,standard healthcare service met my basic needs,"['standard', 'healthcare', 'service', 'met', 'my', 'basic', 'needs']","['standard', 'healthcare', 'service', 'met', 'basic', 'needs']","['standard', 'healthcare', 'service', 'met', 'basic', 'need']",standard healthcare service met basic need,keep,0.0,Neutral
PATIENT_0268,Poor communication from the medical team.,poor communication from the medical team,"['poor', 'communication', 'from', 'the', 'medical', 'team']","['poor', 'communication', 'medical', 'team']","['poor', 'communication', 'medical', 'team']",poor communication medical team,keep,-0.2,Negative
PATIENT_0269,Excellent service and clean facilities. Would recommend to everyone.,excellent service and clean facilities would recommend to everyone,"['excellent', 'service', 'and', 'clean', 'facilities', 'would', 'recommend', 'to', 'everyone']","['excellent', 'service', 'clean', 'facilities', 'would', 'recommend', 'everyone']","['excellent', 'service', 'clean', 'facility', 'would', 'recommend', 'everyone']",excellent service clean facility would recommend everyone,keep,0.6833333333333333,Positive
PATIENT_0270,Waste of time and money. Very unhelpful staff.,waste of time and money very unhelpful staff,"['waste', 'of', 'time', 'and', 'money', 'very', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']",waste time money unhelpful staff,keep,-0.2,Negative
PATIENT_0271,Very knowledgeable doctor. Great communication and support.,very knowledgeable doctor great communication and support,"['very', 'knowledgeable', 'doctor', 'great', 'communication', 'and', 'support']","['knowledgeable', 'doctor', 'great', 'communication', 'support']","['knowledgeable', 'doctor', 'great', 'communication', 'support']",knowledgeable doctor great communication support,keep,0.8,Positive
PATIENT_0272,The doctor was adequate in their approach.,the doctor was adequate in their approach,"['the', 'doctor', 'was', 'adequate', 'in', 'their', 'approach']","['doctor', 'adequate', 'approach']","['doctor', 'adequate', 'approach']",doctor adequate approach,keep,0.3333333333333333,Positive
PATIENT_0273,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0274,Neutral experience. Staff was neither helpful nor rude.,neutral experience staff was neither helpful nor rude,"['neutral', 'experience', 'staff', 'was', 'neither', 'helpful', 'nor', 'rude']","['neutral', 'experience', 'staff', 'neither', 'helpful', 'rude']","['neutral', 'experience', 'staff', 'neither', 'helpful', 'rude']",neutral experience staff neither helpful rude,keep,-0.3,Negative
PATIENT_0275,Very knowledgeable doctor. Great communication and support.,very knowledgeable doctor great communication and support,"['very', 'knowledgeable', 'doctor', 'great', 'communication', 'and', 'support']","['knowledgeable', 'doctor', 'great', 'communication', 'support']","['knowledgeable', 'doctor', 'great', 'communication', 'support']",knowledgeable doctor great communication support,keep,0.8,Positive
PATIENT_0276,Neutral experience. Staff was neither helpful nor rude.,neutral experience staff was neither helpful nor rude,"['neutral', 'experience', 'staff', 'was', 'neither', 'helpful', 'nor', 'rude']","['neutral', 'experience', 'staff', 'neither', 'helpful', 'rude']","['neutral', 'experience', 'staff', 'neither', 'helpful', 'rude']",neutral experience staff neither helpful rude,keep,-0.3,Negative
PATIENT_0277,The doctor was dismissive and didn't listen to my concerns.,the doctor was dismissive and did not listen to my concerns,"['the', 'doctor', 'was', 'dismissive', 'and', 'did', 'not', 'listen', 'to', 'my', 'concerns']","['doctor', 'dismissive', 'listen', 'concerns']","['doctor', 'dismissive', 'listen', 'concern']",doctor dismissive listen concern,keep,0.0,Neutral
PATIENT_0278,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0279,Excellent service and clean facilities. Would recommend to everyone.,excellent service and clean facilities would recommend to everyone,"['excellent', 'service', 'and', 'clean', 'facilities', 'would', 'recommend', 'to', 'everyone']","['excellent', 'service', 'clean', 'facilities', 'would', 'recommend', 'everyone']","['excellent', 'service', 'clean', 'facility', 'would', 'recommend', 'everyone']",excellent service clean facility would recommend everyone,keep,0.6833333333333333,Positive
PATIENT_0280,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0281,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0282,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0283,Very disappointed with the service. Would not return.,very disappointed with the service would not return,"['very', 'disappointed', 'with', 'the', 'service', 'would', 'not', 'return']","['disappointed', 'service', 'would', 'return']","['disappointed', 'service', 'would', 'return']",disappointed service would return,keep,-0.75,Negative
PATIENT_0284,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0285,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0286,Average service quality. Could be better or worse.,average service quality could be better or worse,"['average', 'service', 'quality', 'could', 'be', 'better', 'or', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']",average service quality could better worse,keep,-0.01666666666666668,Neutral
PATIENT_0287,The experience was acceptable but unremarkable.,the experience was acceptable but unremarkable,"['the', 'experience', 'was', 'acceptable', 'but', 'unremarkable']","['experience', 'acceptable', 'unremarkable']","['experience', 'acceptable', 'unremarkable']",experience acceptable unremarkable,keep,0.0,Neutral
PATIENT_0288,Top-notch medical services. Highly recommended!,topnotch medical services highly recommended,"['topnotch', 'medical', 'services', 'highly', 'recommended']","['topnotch', 'medical', 'services', 'highly', 'recommended']","['topnotch', 'medical', 'service', 'highly', 'recommended']",topnotch medical service highly recommended,keep,0.08,Neutral
PATIENT_0289,The doctor was dismissive and didn't listen to my concerns.,the doctor was dismissive and did not listen to my concerns,"['the', 'doctor', 'was', 'dismissive', 'and', 'did', 'not', 'listen', 'to', 'my', 'concerns']","['doctor', 'dismissive', 'listen', 'concerns']","['doctor', 'dismissive', 'listen', 'concern']",doctor dismissive listen concern,keep,0.0,Neutral
PATIENT_0290,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0291,Outstanding care from the entire team. Thank you so much!,outstanding care from the entire team thank you so much,"['outstanding', 'care', 'from', 'the', 'entire', 'team', 'thank', 'you', 'so', 'much']","['outstanding', 'care', 'entire', 'team', 'thank', 'much']","['outstanding', 'care', 'entire', 'team', 'thank', 'much']",outstanding care entire team thank much,keep,0.2333333333333333,Positive
PATIENT_0292,Would give negative stars if possible. Terrible experience.,would give negative stars if possible terrible experience,"['would', 'give', 'negative', 'stars', 'if', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'stars', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'star', 'possible', 'terrible', 'experience']",would give negative star possible terrible experience,keep,-0.43333333333333335,Negative
PATIENT_0293,It was just a regular doctor's visit.,it was just a regular doctors visit,"['it', 'was', 'just', 'a', 'regular', 'doctors', 'visit']","['regular', 'doctors', 'visit']","['regular', 'doctor', 'visit']",regular doctor visit,keep,0.0,Neutral
PATIENT_0294,Average service quality. Could be better or worse.,average service quality could be better or worse,"['average', 'service', 'quality', 'could', 'be', 'better', 'or', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']",average service quality could better worse,keep,-0.01666666666666668,Neutral
PATIENT_0295,The appointment was standard. Service was average.,the appointment was standard service was average,"['the', 'appointment', 'was', 'standard', 'service', 'was', 'average']","['appointment', 'standard', 'service', 'average']","['appointment', 'standard', 'service', 'average']",appointment standard service average,keep,-0.075,Neutral
PATIENT_0296,Decent facilities but could be cleaner.,decent facilities but could be cleaner,"['decent', 'facilities', 'but', 'could', 'be', 'cleaner']","['decent', 'facilities', 'could', 'cleaner']","['decent', 'facility', 'could', 'cleaner']",decent facility could cleaner,keep,0.16666666666666666,Positive
PATIENT_0297,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0298,Unprofessional behavior from the receptionist.,unprofessional behavior from the receptionist,"['unprofessional', 'behavior', 'from', 'the', 'receptionist']","['unprofessional', 'behavior', 'receptionist']","['unprofessional', 'behavior', 'receptionist']",unprofessional behavior receptionist,keep,0.0,Neutral
PATIENT_0299,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0300,Felt rushed during my appointment. Not satisfied.,felt rushed during my appointment not satisfied,"['felt', 'rushed', 'during', 'my', 'appointment', 'not', 'satisfied']","['felt', 'rushed', 'appointment', 'satisfied']","['felt', 'rushed', 'appointment', 'satisfied']",felt rushed appointment satisfied,keep,0.5,Positive
PATIENT_0301,Neutral experience. Staff was neither helpful nor rude.,neutral experience staff was neither helpful nor rude,"['neutral', 'experience', 'staff', 'was', 'neither', 'helpful', 'nor', 'rude']","['neutral', 'experience', 'staff', 'neither', 'helpful', 'rude']","['neutral', 'experience', 'staff', 'neither', 'helpful', 'rude']",neutral experience staff neither helpful rude,keep,-0.3,Negative
PATIENT_0302,The medical staff treated me with great respect and compassion.,the medical staff treated me with great respect and compassion,"['the', 'medical', 'staff', 'treated', 'me', 'with', 'great', 'respect', 'and', 'compassion']","['medical', 'staff', 'treated', 'great', 'respect', 'compassion']","['medical', 'staff', 'treated', 'great', 'respect', 'compassion']",medical staff treated great respect compassion,keep,0.4,Positive
PATIENT_0303,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0304,Terrible experience. Long wait times and rude staff.,terrible experience long wait times and rude staff,"['terrible', 'experience', 'long', 'wait', 'times', 'and', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'times', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'time', 'rude', 'staff']",terrible experience long wait time rude staff,keep,-0.45,Negative
PATIENT_0305,The treatment was ineffective and expensive.,the treatment was ineffective and expensive,"['the', 'treatment', 'was', 'ineffective', 'and', 'expensive']","['treatment', 'ineffective', 'expensive']","['treatment', 'ineffective', 'expensive']",treatment ineffective expensive,keep,-0.5,Negative
PATIENT_0306,The doctor was very professional and caring. Highly satisfied!,the doctor was very professional and caring highly satisfied,"['the', 'doctor', 'was', 'very', 'professional', 'and', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']",doctor professional caring highly satisfied,keep,0.3,Positive
PATIENT_0307,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0308,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0309,Unprofessional behavior from the receptionist.,unprofessional behavior from the receptionist,"['unprofessional', 'behavior', 'from', 'the', 'receptionist']","['unprofessional', 'behavior', 'receptionist']","['unprofessional', 'behavior', 'receptionist']",unprofessional behavior receptionist,keep,0.0,Neutral
PATIENT_0310,Average service quality. Could be better or worse.,average service quality could be better or worse,"['average', 'service', 'quality', 'could', 'be', 'better', 'or', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']",average service quality could better worse,keep,-0.01666666666666668,Neutral
PATIENT_0311,Poor communication from the medical team.,poor communication from the medical team,"['poor', 'communication', 'from', 'the', 'medical', 'team']","['poor', 'communication', 'medical', 'team']","['poor', 'communication', 'medical', 'team']",poor communication medical team,keep,-0.2,Negative
PATIENT_0312,Would give negative stars if possible. Terrible experience.,would give negative stars if possible terrible experience,"['would', 'give', 'negative', 'stars', 'if', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'stars', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'star', 'possible', 'terrible', 'experience']",would give negative star possible terrible experience,keep,-0.43333333333333335,Negative
PATIENT_0313,Best healthcare experience I've had. Very impressed!,best healthcare experience i have had very impressed,"['best', 'healthcare', 'experience', 'i', 'have', 'had', 'very', 'impressed']","['best', 'healthcare', 'experience', 'impressed']","['best', 'healthcare', 'experience', 'impressed']",best healthcare experience impressed,keep,1.0,Positive
PATIENT_0314,It was just a regular doctor's visit.,it was just a regular doctors visit,"['it', 'was', 'just', 'a', 'regular', 'doctors', 'visit']","['regular', 'doctors', 'visit']","['regular', 'doctor', 'visit']",regular doctor visit,keep,0.0,Neutral
PATIENT_0315,Terrible experience. Long wait times and rude staff.,terrible experience long wait times and rude staff,"['terrible', 'experience', 'long', 'wait', 'times', 'and', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'times', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'time', 'rude', 'staff']",terrible experience long wait time rude staff,keep,-0.45,Negative
PATIENT_0316,It was an okay experience. Nothing special.,it was an okay experience nothing special,"['it', 'was', 'an', 'okay', 'experience', 'nothing', 'special']","['okay', 'experience', 'nothing', 'special']","['okay', 'experience', 'nothing', 'special']",okay experience nothing special,keep,0.4285714285714286,Positive
PATIENT_0317,The doctor was dismissive and didn't listen to my concerns.,the doctor was dismissive and did not listen to my concerns,"['the', 'doctor', 'was', 'dismissive', 'and', 'did', 'not', 'listen', 'to', 'my', 'concerns']","['doctor', 'dismissive', 'listen', 'concerns']","['doctor', 'dismissive', 'listen', 'concern']",doctor dismissive listen concern,keep,0.0,Neutral
PATIENT_0318,Standard healthcare service. Met my basic needs.,standard healthcare service met my basic needs,"['standard', 'healthcare', 'service', 'met', 'my', 'basic', 'needs']","['standard', 'healthcare', 'service', 'met', 'basic', 'needs']","['standard', 'healthcare', 'service', 'met', 'basic', 'need']",standard healthcare service met basic need,keep,0.0,Neutral
PATIENT_0319,Best healthcare experience I've had. Very impressed!,best healthcare experience i have had very impressed,"['best', 'healthcare', 'experience', 'i', 'have', 'had', 'very', 'impressed']","['best', 'healthcare', 'experience', 'impressed']","['best', 'healthcare', 'experience', 'impressed']",best healthcare experience impressed,keep,1.0,Positive
PATIENT_0320,The doctor was very professional and caring. Highly satisfied!,the doctor was very professional and caring highly satisfied,"['the', 'doctor', 'was', 'very', 'professional', 'and', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']",doctor professional caring highly satisfied,keep,0.3,Positive
PATIENT_0321,Excellent service and clean facilities. Would recommend to everyone.,excellent service and clean facilities would recommend to everyone,"['excellent', 'service', 'and', 'clean', 'facilities', 'would', 'recommend', 'to', 'everyone']","['excellent', 'service', 'clean', 'facilities', 'would', 'recommend', 'everyone']","['excellent', 'service', 'clean', 'facility', 'would', 'recommend', 'everyone']",excellent service clean facility would recommend everyone,keep,0.6833333333333333,Positive
PATIENT_0322,Top-notch medical services. Highly recommended!,topnotch medical services highly recommended,"['topnotch', 'medical', 'services', 'highly', 'recommended']","['topnotch', 'medical', 'services', 'highly', 'recommended']","['topnotch', 'medical', 'service', 'highly', 'recommended']",topnotch medical service highly recommended,keep,0.08,Neutral
PATIENT_0323,Excellent service and clean facilities. Would recommend to everyone.,excellent service and clean facilities would recommend to everyone,"['excellent', 'service', 'and', 'clean', 'facilities', 'would', 'recommend', 'to', 'everyone']","['excellent', 'service', 'clean', 'facilities', 'would', 'recommend', 'everyone']","['excellent', 'service', 'clean', 'facility', 'would', 'recommend', 'everyone']",excellent service clean facility would recommend everyone,keep,0.6833333333333333,Positive
